town,county,floterial_district
Acworth,Sullivan,Sullivan 8
Alexandria,Grafton,Grafton 18
Allenstown,Merrimack,Merrimack 27
Alstead,Cheshire,Cheshire 16
Amherst,Hillsborough,Hillsborough 37
Andover,Merrimack,Merrimack 26
Auburn,Rockingham,Rockingham 31
Barrington,Strafford,Strafford 18
Belmont,Belknap,Belknap 8
Berlin,Coos,Coos 7
Boscawen,Merrimack,Merrimack 26
Brentwood,Rockingham,Rockingham 32
Bridgewater,Grafton,Grafton 18
Bristol,Grafton,Grafton 18
Brookfield,Carroll,Carroll 8
Brookline,Hillsborough,Hillsborough 45
Canaan,Grafton,Grafton 18
Candia,Rockingham,Rockingham 31
Canterbury,Merrimack,Merrimack 26
Carroll,Coos,Coos 7
Charlestown,Sullivan,Sullivan 7
Chester,Rockingham,Rockingham 31
Chesterfield,Cheshire,Cheshire 15
Claremont,Sullivan,Sullivan 8
Concord,Merrimack,Merrimack 30
Cornish,Sullivan,Sullivan 7
Croydon,Sullivan,Sullivan 8
Danbury,Merrimack,Merrimack 26
Danville,Rockingham,Rockingham 32
Deerfield,Rockingham,Rockingham 31
Dorchester,Grafton,Grafton 18
Dover,Strafford,Strafford 21
Dublin,Cheshire,Cheshire 18
Dunbarton,Merrimack,Merrimack 27
Durham,Strafford,Strafford 20
East Kingston,Rockingham,Rockingham 34
Eaton,Carroll,Carroll 8
Effingham,Carroll,Carroll 8
Enfield,Grafton,Grafton 18
Epsom,Merrimack,Merrimack 27
Exeter,Rockingham,Rockingham 33
Fitzwilliam,Cheshire,Cheshire 17
Franklin,Merrimack,Merrimack 25 
Freedom,Carroll,Carroll 8
Fremont,Rockingham,Rockingham 32
Gilsum,Cheshire,Cheshire 16
Goffstown,Hillsborough,Hillsborough 44
Goshen,Sullivan,Sullivan 8
Grafton,Grafton,Grafton 18
Greenland,Rockingham,Rockingham 38
Greenville,Hillsborough,Hillsborough 45
Groton,Grafton,Grafton 18
Hampstead,Rockingham,Rockingham 34
Hampton,Rockingham,Rockingham 40
Hampton Falls,Rockingham,Rockingham 36
Harrisville,Cheshire,Cheshire 16
Hebron,Grafton,Grafton 18
Hill,Merrimack,Merrimack 26
Hinsdale,Cheshire,Cheshire 15
Hollis,Hillsborough,Hillsborough 45
Hooksett,Merrimack,Merrimack27
Hudson,Hillsborough,Hillsborough 38
Jaffrey,Cheshire,Cheshire 18
Jefferson,Coos,Coos 7
Keene,Cheshire,Cheshire 15
Kensington,Rockingham,Rockingham 36
Kilkenny,Coos,Coos 7
Kingston,Kingston,Rockingham 34
Langdon,Sullivan,Sullivan 8
Lebanon,Grafton,Grafton 17
Lee,Strafford,Strafford 20
Lempster,Sullivan,Sullivan 8
Litchfield,Hillsborough,Hillsborough 38
Londonderry,Rockingham,Rockingham 35
Loudon,Merrimack,Merrimack 26
Madbury,Strafford,Strafford 20
Madison,Carroll,Carroll 8
Manchester,Hillsborough,Hillsborough 41
Marlborough,Cheshire,Cheshire 16
Marlow,Cheshire,Cheshire 16
Mason,Hillsborough,Hillsborough 45
Middleton,Strafford,Strafford 18
Milford,Hillsborough,Hillsborough 37
Moultonborough,Carroll,Carroll 8
Nelson,Cheshire,Cheshire 16
New Castle,Rockingham,Rockingham 37
New Durham,Strafford,Strafford 18
Newfields,Rockingham,Rockingham 33
Newington,Rockingham,Rockingham 37
Newmarket,Rockingham,Rockingham 33
Newport,Sullivan,Sullivan 7
Newton,Rockingham,Rockingham 36
North Hampton,Rockingham,Rockingham 38
Northfield,Merrimack,Merrimack 25 
Orange,Grafton,Grafton 18
Ossipee,Carroll,Carroll 7
Plainfield,Sullivan,Sullivan 7
Plaistow,Rockingham,Rockingham 36
Portsmouth,Rockingham,Rockingham 39
Richmond,Cheshire,Cheshire 17
Rindge,Cheshire,Cheshire 18
Rochester,Strafford,Strafford 19
Roxbury,Cheshire,Cheshire 16
Rye,Rockingham,Rockingham 38
Salisbury,Merrimack,Merrimack 26
Sanbornton,Belknap,Belknap 8
Seabrook,Rockingham,Rockingham 40
South Hampton,Rockingham,Rockingham 40
Springfield,Sullivan,Sullivan 8
Stoddard,Cheshire,Cheshire 16
Strafford,Strafford,Strafford 18
Stratham,Rockingham,Rockingham 33
Sullivan,Cheshire,Cheshire 16
Sunapee,Sullivan,Sullivan 8
Surry,Cheshire,Cheshire 15
Swanzey,Cheshire,Cheshire 17
Tamworth,Carroll,Carroll 8
Tilton,Belknap,Belknap 8
Troy,Cheshire,Cheshire 17
Tuftonboro,Carroll,Carroll 7
Unity,Sullivan,Sullivan 7
Wakefield,Carroll,Carroll 8
Walpole,Cheshire,Cheshire 15
Washington,Sullivan,Sullivan 8
Weare,Hillsborough,Hillsborough 44
Webster,Merrimack,Merrimack 26
Westmoreland,Cheshire,Cheshire 15
Whitefield,Coos,Coos 7
Winchester,Cheshire,Cheshire 17
Windham,Rockingham,Rockingham 35
Wolfeboro,Carroll,Carroll 7
